file,start,base_mad,base_rmse,base_bias,base_w5,base_w10,base_r,acc_tp,acc_fp,acc_fn,acc_n_true,acc_n_pred,acc_dice,acc_tp_eb,acc_fp_eb,acc_fn_eb,dec_tp,dec_fp,dec_fn,dec_n_true,dec_n_pred,dec_dice,dec_tp_eb,dec_fp_eb,dec_fn_eb
train05.csv,9600,5.935490098516622,13.968623326074313,3.518837651525119,0.820625,0.9022916666666667,,0,0,0,0,0,,0,0,0,7,0,0,7,7,0.6284571809396867,6,1,1
train06.csv,0,2.7787697369401836,3.3780960547992027,-0.3903221079242404,0.8427083333333333,1.0,,0,0,0,0,0,,0,0,0,2,2,0,2,4,0.591715976331361,2,1,0
train06.csv,4800,4.995370845964411,6.989010183166469,0.28953408107028433,0.7145833333333333,0.8689583333333334,,0,0,0,0,0,,0,0,0,3,3,1,4,6,0.4492890995260663,4,0,0
train07.csv,0,5.2819346015506925,6.558050264913345,2.890029797549346,0.7439583333333334,0.8241666666666667,,0,0,0,0,0,,0,0,0,2,1,0,2,3,0.7504621072088724,1,0,1
train07.csv,4800,3.0068607062638284,4.1111566128631525,-2.5937165883706856,0.7685416666666667,1.0,,0,1,1,1,1,0.0,0,0,1,0,0,0,0,0,,0,0,0
train07.csv,9600,36.13284791632416,50.78630669503431,32.934101472952584,0.31375,0.5227083333333333,,0,0,0,0,0,,0,0,0,1,1,2,3,2,0.04663023679417122,2,1,1
train08.csv,0,8.379055114365483,11.4085236732351,-1.2306800534221054,0.4995833333333333,0.63125,,4,1,2,6,5,0.6358313817330211,3,0,3,3,3,1,4,6,0.47856008470089995,3,0,1
train08.csv,4800,5.697316959632737,6.276575605775829,-2.2097771903966272,0.434375,0.9141666666666667,,0,2,0,0,2,0.0,0,0,0,3,0,0,3,3,0.7760081328363266,3,0,0
train09.csv,0,3.7041156195763913,4.799017764561178,-3.280415791521013,0.645625,1.0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0
train09.csv,4800,4.7626740851070934,5.172659209467585,-2.349472574689854,0.4716666666666667,1.0,,0,0,0,0,0,,0,0,0,3,0,2,5,3,0.37254901960784315,4,0,1
