horizon_min,split,model,auroc,delta_vs_canonical_m3,delta_vs_split_m3,p_vs_m3,delta_vs_split_f2,p_vs_f2
10,resplit_33,A4_logit_equal,0.691,0.0227,0.0227,0.157,0.0025,0.282
10,resplit_33,F1_unregularized,0.6892,0.0209,0.0209,0.173,0.0008,0.619
10,resplit_33,F3_l1,0.6809,0.0127,0.0127,0.183,-0.0075,0.165
10,resplit_33,F7_interaction,0.6897,0.0215,0.0215,0.134,0.0013,0.317
10,resplit_33,P3_categorical_parity,0.6907,0.0224,0.0224,0.027,0.0022,0.87
10,resplit_44,B0_prevalence,0.4986,-0.1696,-0.1696,0.0,-0.1924,0.0
10,resplit_44,B1_parity_only,0.5785,-0.0897,-0.0897,0.02,-0.1125,0.0
10,resplit_44,B2_m3_only,0.6683,0.0,0.0,1.0,-0.0228,0.091
10,resplit_44,F2_hybrid_C0.1,0.691,0.0228,0.0228,0.091,0.0,1.0
10,resplit_44,A3_prob_avg_a0.25,0.6878,0.0196,0.0196,0.384,-0.0032,0.791
10,resplit_44,A3_prob_avg_a0.5,0.6942,0.0259,0.0259,0.081,0.0032,0.321
10,resplit_44,A3_prob_avg_a0.75,0.6832,0.0149,0.0149,0.011,-0.0078,0.342
10,resplit_44,A3_prob_avg_selected,0.6983,0.03,0.03,0.099,0.0073,0.243
10,resplit_44,A4_logit_unconstrained,0.6918,0.0235,0.0235,0.108,0.0008,0.585
10,resplit_44,A4_logit_nonneg,0.6918,0.0235,0.0235,0.108,0.0008,0.606
10,resplit_44,A4_logit_sum_to_one,0.6929,0.0246,0.0246,0.186,0.0018,0.771
10,resplit_44,A4_logit_equal,0.6923,0.024,0.024,0.118,0.0013,0.586
10,resplit_44,F1_unregularized,0.6917,0.0235,0.0235,0.108,0.0007,0.631
10,resplit_44,F3_l1,0.6851,0.0168,0.0168,0.037,-0.006,0.297
10,resplit_44,F7_interaction,0.6914,0.0232,0.0232,0.089,0.0004,0.801
10,resplit_44,P3_categorical_parity,0.6915,0.0232,0.0232,0.016,0.0004,1.0
10,resplit_55,B0_prevalence,0.4986,-0.1696,-0.1696,0.0,-0.1907,0.0
10,resplit_55,B1_parity_only,0.5707,-0.0975,-0.0975,0.014,-0.1186,0.0
10,resplit_55,B2_m3_only,0.6683,0.0,0.0,1.0,-0.021,0.14
